TAG=target-temp-over-dist
TS=2019-08-15-18:06:44
HOSTNAME=centre-node
HEIGHT=110
TARGET_TEMP=34.25
BACKGROUND_TEMP=19.4

2019-08-15 18:06:57 1565888818 15.2 16.8 19.1 21.8 centre-node
16 16 16 17 16 17 16 17 
17 17 16 17 16 17 16 16 
16 17 17 18 18 17 17 15 
17 17 18 21 22 17 16 16 
17 17 18 19 20 17 16 16 
17 17 17 17 17 17 17 16 
17 17 17 17 17 16 16 17 
16 17 17 17 17 17 16 17 


diff
 1  1  1  2  1  2  1  2
 2  2  1  2  1  2  0  0
 1  2  2  2  3  2  2  0
 2  2  2  6  6  2  1  1
 2  2  2  4  4  2  1  1
 2  2  2  2  2  2  2  1
 2  2  2  2  2  1  1  2
 1  2  2  2  2  2  1  2
