TAG=img-proc-human-target-poc
TS=2019-08-15-19:57:58
HOSTNAME=centre-node
HEIGHT=220
TARGET_TEMP=26.75
BACKGROUND_TEMP=18.2

2019-08-15 19:58:11 1565895491 16.5 17.2 20.1 20.8 centre-node
17 17 20 20 21 18 18 18 
17 17 17 19 18 18 17 16 
17 17 18 18 18 20 17 17 
18 17 17 17 17 18 17 17 
16 17 17 17 17 17 17 17 
16 17 17 17 18 17 17 17 
17 17 18 17 18 17 17 17 
17 17 18 18 17 17 17 16 


diff
 1  1  4  4  4  2  1  1
 0  0  1  3  2  1  1  0
 0  0  1  1  1  4  1  0
 1  1  1  0  0  2  0  0
 0  0  1  0  1  0  0  0
 0  0  0  0  1  0  0  0
 1  0  1  1  1  1  0  0
 0  0  2  1  0  0  1  0
