TAG=img-proc-human-target-poc
TS=2019-08-15-19:59:56
HOSTNAME=centre-node
HEIGHT=220
TARGET_TEMP=27.00
BACKGROUND_TEMP=18.2

2019-08-15 20:00:10 1565895610 16.5 17.2 19.9 21.8 centre-node
17 16 17 17 17 17 17 18 
16 17 17 18 18 18 17 17 
16 17 18 17 18 20 18 17 
17 17 18 17 18 18 17 17 
17 18 18 17 18 18 17 17 
17 18 18 18 17 18 17 17 
18 18 20 19 18 18 17 16 
18 20 22 20 17 17 17 17 


diff
 0  0  0  0  0  0  0  1
 0  0  0  1  1  1  1  0
 0  1  1  0  1  4  1  0
 1  1  1  1  1  1  1  0
 0  1  2  1  1  1  0  1
 1  1  1  2  1  1  0  1
 1  1  4  2  1  1  1  0
 1  4  5  3  1  0  0  1
