TAG=img-proc-human-target-range
TS=2019-08-16-14:57:40
HOSTNAME=centre-node
HEIGHT=250
TARGET_TEMP=
BACKGROUND_TEMP=18.8

2019-08-16 14:57:46 1565963867 15.2 16.2 17.5 22.0 centre-node
16 16 16 18 17 16 16 16 
17 17 16 17 16 16 16 16 
22 18 16 16 16 16 16 16 
22 19 16 16 16 16 16 16 
16 16 16 16 16 16 15 16 
16 16 16 17 16 16 16 16 
17 16 16 16 16 16 16 16 
17 17 16 16 16 16 16 16 


diff
 1  0  0  2  2  1  1  1
 2  2  0  2  1  1  1  0
 6  2  1  1  1  0  1  1
 7  4  1  0  1  0  1  0
 1  1  1  1  1  0  0  1
 1  1  1  2  1  1  1  0
 2  1  1  1  1  0  1  0
 2  2  1  1  1  1  1  0
