TAG=img-proc-human-target-range
TS=2019-08-16-14:57:04
HOSTNAME=centre-node
HEIGHT=250
TARGET_TEMP=
BACKGROUND_TEMP=18.8

2019-08-16 14:57:09 1565963830 15.0 16.0 22.1 23.8 centre-node
17 16 16 18 17 16 16 16 
18 20 16 17 16 16 16 15 
24 24 20 16 16 16 16 16 
21 23 22 16 16 16 16 15 
16 18 18 16 16 16 15 16 
16 16 16 16 16 16 16 16 
17 16 16 16 16 15 16 16 
17 17 16 16 16 16 16 16 


diff
 2  1  1  3  2  1  1  1
 4  5  1  2  1  1  1  0
 9  9  6  1  2  0  2  1
 6  8  7  1  1  0  1  0
 1  3  4  1  1  1  0  0
 2  2  1  1  1  0  0  0
 2  2  1  1  1  0  0  0
 2  2  2  1  1  1  2  1
