TAG=img-proc-human-target-range
TS=2019-08-16-14:57:28
HOSTNAME=centre-node
HEIGHT=250
TARGET_TEMP=
BACKGROUND_TEMP=18.8

2019-08-16 14:57:34 1565963854 15.2 16.2 19.2 24.0 centre-node
16 16 16 18 18 16 16 16 
18 17 16 17 16 16 16 16 
23 19 16 16 16 16 16 16 
24 22 17 16 16 16 16 16 
18 19 17 16 17 16 16 16 
17 16 16 16 16 16 16 16 
17 16 16 16 16 15 16 15 
16 16 16 16 16 16 16 16 


diff
 1  1  0  2  2  0  1  1
 3  2  0  2  1  0  1  0
 8  4  1  1  1  0  1  0
 9  7  2  1  1  0  0  0
 2  4  2  1  2  1  0  1
 2  1  1  1  1  0  1  1
 2  1  1  1  0  0  0  0
 1  1  1  1  0  1  1  0
