TAG=img-proc-human-target-range
TS=2019-08-16-14:56:51
HOSTNAME=centre-node
HEIGHT=250
TARGET_TEMP=
BACKGROUND_TEMP=18.8

2019-08-16 14:56:57 1565963818 14.0 15.0 20.5 23.2 centre-node
16 16 15 16 16 15 15 15 
17 19 16 16 16 15 15 14 
23 23 19 15 15 15 15 15 
20 22 20 14 15 14 14 14 
16 16 18 15 14 15 14 14 
16 16 14 15 15 15 15 15 
16 15 15 15 15 15 14 14 
16 16 16 15 14 14 15 15 


diff
 2  2  1  2  2  1  1  1
 3  5  2  2  2  1  1  0
 9  9  5  1  1  1  1  1
 6  8  6  0  1  0  0  0
 2  2  4  1  0  1  0  0
 2  2  0  1  1  1  1  1
 2  1  1  1  1  1  0  0
 2  2  2  1  0  0  1  1
