TAG=img-proc-human-target-range
TS=2019-08-16-14:57:16
HOSTNAME=centre-node
HEIGHT=250
TARGET_TEMP=
BACKGROUND_TEMP=18.8

2019-08-16 14:57:22 1565963842 15.5 16.0 22.2 24.0 centre-node
16 16 16 18 18 16 16 16 
18 19 16 17 16 16 16 16 
24 23 18 16 17 16 16 16 
22 24 19 16 16 16 16 16 
17 20 17 16 16 16 16 16 
16 16 16 16 16 16 16 16 
17 17 16 16 16 16 16 16 
17 17 17 16 16 16 16 16 


diff
 1  1  0  2  2  0  0  1
 2  3  0  2  1  0  0  0
 8  7  2  0  1  0  0  0
 7  8  3  1  0  0  0  0
 2  5  2  0  1  0  0  0
 0  0  0  1  0  0  0  0
 2  1  0  1  0  0  0  0
 1  2  2  1  0  0  1  0
