TAG=img-proc-human-target-range
TS=2019-08-16-14:56:39
HOSTNAME=centre-node
HEIGHT=250
TARGET_TEMP=
BACKGROUND_TEMP=18.8

2019-08-16 14:56:45 1565963805 15.0 16.2 22.4 24.8 centre-node
16 17 17 18 18 16 16 16 
17 21 23 18 17 16 16 16 
17 24 25 20 16 16 16 16 
17 18 23 20 16 16 16 15 
16 16 17 17 16 16 16 16 
16 16 16 16 16 16 16 16 
17 16 16 16 16 16 16 15 
16 16 16 17 16 16 16 16 


diff
 1  2  2  3  3  1  1  2
 2  6  8  2  2  1  0  0
 2  8 10  5  2  1  1  1
 2  3  8  5  1  1  1  0
 1  2  2  2  2  1  1  1
 1  2  1  1  1  1  1  1
 2  1  1  1  1  1  1  0
 2  1  2  2  1  1  1  0
