TAG=img-proc-human-target-range
TS=2019-08-16-14:53:54
HOSTNAME=centre-node
HEIGHT=250
TARGET_TEMP=
BACKGROUND_TEMP=18.8

2019-08-16 14:54:00 1565963640 14.2 15.0 17.9 22.0 centre-node
15 15 15 17 17 15 14 15 
15 15 15 16 16 15 15 14 
15 15 15 15 16 15 15 15 
16 17 16 15 15 14 14 14 
21 18 15 15 16 15 14 15 
22 18 16 15 15 14 14 14 
17 16 15 14 15 15 14 14 
16 16 15 15 15 15 15 14 


diff
 1  0  0  3  3  0  0  0
 0  1  1  2  1  0  0  0
 1  1  1  0  1  0  1  0
 2  3  1  0  1  0  0  0
 7  4  1  1  1  0  0  0
 8  4  1  1  0  0  0  0
 3  1  1  0  1  0  0  0
 2  2  1  1  1  1  1  0
